metric,value,timestamp
env_name,halfcheetah-medium-expert-v0,2026-02-13T01:22:17.188988
exp_name,bc-halfcheetah-medexp-25k-run2,2026-02-13T01:22:17.188994
seed,43,2026-02-13T01:22:17.188997
n_epochs,1000,2026-02-13T01:22:17.189000
data_ratio,1.0,2026-02-13T01:22:17.189002
n_transitions,25000,2026-02-13T01:22:17.189005
final_loss,0.029819,2026-02-13T01:22:17.189008
avg_reward,3529.41,2026-02-13T01:22:17.189011
std_reward,1253.81,2026-02-13T01:22:17.189014
n_episodes,10,2026-02-13T01:22:17.189016
